userName,content,score,at
RaYYaN AZ,Aplikasi susah di gunakan.,1,2024-10-21 14:31:27
Topick Anyya91,ok,5,2024-10-21 14:22:15
Ikbal Hidayat,Membantu sekali bagi masyarakat,5,2024-10-21 13:27:21
Ande Koten,Kode 91 artinya apa ya,5,2024-10-21 13:08:52
Nofal Abdurazak,Baru mau dicoba. Tak kasih satu bintang dulu 😁,1,2024-10-21 12:51:26
Anwar Maulana,tolong ini saya mau login tapi user id tidak tersedia padahal udah sesuai,1,2024-10-21 12:29:08
Benediktus Gat,Kenapa aplikasinya ngga biusa buka sekarang ya?,1,2024-10-21 12:21:14
Layinnatul Fuadah,sering banget eror .... perbaikan layanan terus..jadi susah kalok lagi dibutuhin,1,2024-10-21 11:52:42
Ajang Wahdiat,Sangat membantu,5,2024-10-21 11:52:18
Muhammad Akmal Rafasyah,Sangat membantu dalam bertransaksi,5,2024-10-21 11:24:41
said faqod,apk nya gk jelas saat melakukan mobile tunai dan sudah memasukkan kode transaksi kode otp tidak terkirim,2,2024-10-21 11:18:10
Muhamad Agis,"Stiap login ulang. Nunggu kode verifikasi WhatsApp sma email ga muncul"" muakkk",1,2024-10-21 10:13:52
Jaqueline Regina Tampubolon,Customer service jawabnya lama banget saya nanya main di end chat aja. Ga bener nih,1,2024-10-21 10:06:36
Jes Lyn,Saya ksh 4 stars krn suka tiba2 gak bisa transsaksi,4,2024-10-21 10:03:48
Yoga Jarwo,Kenapa setiap mau log in selalu diminta install wondr???,1,2024-10-21 09:58:21
amrin husaen,Mantap,4,2024-10-21 09:49:35
Yani Ahmad Zaky,Kenapa sekarang malah tidak bisa beli token listrik ya,5,2024-10-21 09:46:23
Greatmixing djschool,"Buruk gak bisa log jaringan ,emng aplikasi bni ny g bs dbuka... Sllu periksa jaringan",1,2024-10-21 08:08:56
Wahyudi Anggara,"PELAYANAN PALING KAYA KONTHOL SEKELAS BANK NEGARA, MASA BAYAR QRIS AMPE 2 KALI SEDANG PROSES TAPI SALDO HILANG HAMPIR 10 HARI CS CUMA TERIMAKASIH TERIMAKASIH AJA... BNI TAIIII TAIIII",1,2024-10-21 07:10:09
Yanti Dharmayani,Mantap,5,2024-10-21 06:12:29
Taufik,Good,4,2024-10-21 03:54:35
Andy Nst,Hampir tiap hari bermasalah mbangkingnya. Capeeek!!!,1,2024-10-21 01:20:56
Rizky Khadafi,Aplikasi tidak bisa di gunakan saya selaku nasabah kecewa dengan BNI banking,1,2024-10-21 00:45:32
Dwi Kusumawati,pip ne anakku kudu metu rek,5,2024-10-21 00:36:37
Jasmin Sparenza,Senoga layanan nya semangkin baik,3,2024-10-20 18:59:48
Andi Irfani,Pinjaman onlinenya masih ga bsa mlai banking msa msih dsruh kbank,3,2024-10-20 18:40:12
Mubahis Budaeri,Waduh parah si saldo tiba² hilang dengan sekejap ..,3,2024-10-20 18:04:26
Devi Putra Jaya,"Semenjak ada wondr ini jelek kali layanan mobile nya,, susah mau setor tarik tunai tanpa kartu. Klu belum siap harusnya jgn buru2 pindah ke wondr",1,2024-10-20 15:14:12
wisanggeni 88,"Kenapa kalau transaksi pake QR bukti transaksinya distory lama keluar,apa cuma akun saya saja",3,2024-10-20 14:45:00
Zaki Ruthab,Token listrik ko ga bisa ?,2,2024-10-20 12:57:38
Irwan Kurniawan,Aplikasi yang baik,5,2024-10-20 12:39:52
khafid rahman,kenapa aplikasi mobile banking selalu terkendala,2,2024-10-20 09:33:19
Rizky Saputra,Perbaikan 100x jepret² foto aplikasi EROR,1,2024-10-20 09:22:22
Gus Wandik,"kok msh tanya gmn kendala yg di alami,,dah jelas"" mbanking skrg slalu eror stiap x buat transaksi ..",2,2024-10-20 09:09:29
Wieke Anestia,Tiba2 kemaren & hari ini saya tidak bisa melakukan transaksi pembayaran listrik.... Pas mw cek ini bayar malah muncul tulisan PLNJATIM.GAGAL... jelas2 saya PLNriau.... gmn jadinya itu ga bs transaksi,3,2024-10-20 08:43:01
Gilang Gilang,"Mau cek saldo aja harus hoki dulu baru bisa login, selalu muncul sistem sedang diperbaiki coba beberapa saat lagi. Mohon diperbaiki lagi kedepannya",1,2024-10-20 08:35:48
Topik Wiwin,Daftar nya gajelas. Rekening lupa ga ke ss susah gabisa masuk,1,2024-10-20 07:57:16
Ahmad Fawwaz,"Tidak bisa login, masalahn terdapat di laman saat verifikasi OTP, hanya OTP dari WA/SMS saja yg di kirim, sedangkan untuk OTP yang dari email tidak pernah di kirim, daya sudah mencoba 6 kali selama 2 hari, hasilnya tetap sama saja",1,2024-10-20 06:17:00
Kusen Xyz5,saya harap jangan di hapus aplikasi ini walaupun sudah ada wondr,5,2024-10-20 05:43:48
Tita Zahrafebrianti,Banyak error pas transaksi pembelian,2,2024-10-20 04:31:46
Lulu Spt,"Kenapa setiap beli token listrik selalu muncul kode 91,",3,2024-10-20 04:25:23
Wildan ramdani,"Akun sya terblokir,dan hrus aktivasi ke bn terdekat tapi disini kantor bni jauh",1,2024-10-20 02:41:47
rajief facebook,"Aplikasi sering gangguan, lagi penting pentingnya tapi gangguan",1,2024-10-20 01:36:08
Haryanto Djapa,sangat senang menggunakan M-Banking,5,2024-10-20 01:34:41
annisa djafri,Kenapa saya tidak bisa tarik tunai tanpa kartu dg BNI mobile banking?,4,2024-10-20 01:06:09
Crysna_ CNL,"Meningkatkan""Mulu orang mau cepet transaksi",1,2024-10-20 00:47:54
Yuda Beckhauu,Saya transaksi via qris udh 4 hari diproses tolong dibatalkan aja balikin saldona biar saya gak rugi...dari tgl 16 smpe sekarang gak blik saldonya,1,2024-10-19 20:10:49
Pak Pur,"Gak guna juga akhirnya, koo mau migrasi ke apps baru segera dan butuh totalitas dong. Masa cuma beli token aja g bisa. Udah gitu apps wonder juga GAK GUNA...!!!! macam mana pula ERROR91..!!!!",1,2024-10-19 16:56:46
Hadeferial Good,Sangat mudah,2,2024-10-19 16:54:23
Selvianus Banjir,Persyatannya sangat sederhana,5,2024-10-19 15:28:42
henda boybollank,Tidak bisa beli token listrik dan tertera kode 91,3,2024-10-19 15:05:53
Jelink Jelink86,Bukannya malah tambah simple malah tambah ribett BNI Ada yang susah ngapain ada yang mudah😏,2,2024-10-19 14:15:29
sri yani,Semenjak ada wondr bni jadi gabisa setor dan tarik tunai tanpa kartu. Parah banget masa perbaikan terus udah dari lama juga. Mana di apk wondr menunya ga lengkap pula,1,2024-10-19 13:28:53
Alviano_ Jeriko,Mantap,4,2024-10-19 13:15:22
Asep Jamaludin,Ga bisa pake quiris,3,2024-10-19 12:14:08
Rosid 12,"Lengah dikit susah Log in , BNI sekarang tidak seperti yang dulu.",1,2024-10-19 11:45:03
FEBIAN _,ribet,1,2024-10-19 10:41:15
ibnu khubaidillah,"setiap top up e wallet ngga bisa, baik dari va atau e wallet langsung",1,2024-10-19 09:22:50
Dugi Ananta,Sangat mudah bertransaksi,5,2024-10-19 08:53:49
Nabila Elirawan,Terlalu rumit masuk nyaaaa susah banget,5,2024-10-19 06:33:11
Anom Laksmana Irsyad,Kebanyakan perbaikan kocak,1,2024-10-19 04:57:56
Tape Besek,"APK BARU TAPI GAK JELAS, YANG BIKIN ORANGNYA CUMA BIKIN RIBET AJA. UDAH MAKSIMAL KAN APK INI ,UDAH BAGUS2 MALAH GANTI APK GAK JELAS",1,2024-10-19 04:05:17
Bernadin virgin,"Kan saya pakai face ID yah, tapi nggak bisa. Malahan yang ada layar putih aja. Pas tekan kembali baru disuruh masukin sandi. Jadi saya belum bisa masuk apk takutnya diretas apa gimana datanya nanti disalahgunakan. Tolong perhatiannya, makasih.",4,2024-10-19 02:54:21
Iwan Jordy,Aplikasi sangat berguna sekali 👍👍👍👌👌👌,5,2024-10-19 01:39:11
Setio Pambudi,saya pembayaran melalui qris. keterangan transaksi sedang proses. tetapi dana tidak masuk ke tujuan sedangkan saldo saya berkurang. sampai sekarang dana belum kembali/masuk ke tujuan.,1,2024-10-19 01:19:04
Diary Starla,"Kenapa ini setiap mau gunain mbanking selalu ada bacaan mohon maaf kami sedang meningkatkan layanan mobile banking, alasan kalian wifi atau sinyalnya buktinya saya transfer menggunakan mbanking yang lain gak ada kayak BNI ini, kita mau pake qris berujung gak bisa kalo mau bayar membayar akibat sudah login.. ini terus menerus sampe males lagi nabung di bni krn gak bisa digunain. Tolong perbaiki saya pengguna bni dr dulu, ini dah tahap sangat mengecewakan.",1,2024-10-19 00:48:59
khe - chenk,"Lama"" capek pk BNI Mobile Banking sering eror yg dalam perawatanlah. Yg muter""lah ...yg jelas kecewa sangat. Mau beli token listrik susahnya minta ampun,mau tf susah dng alasan dalam perawatan silahkan hubungi beberapa saat lagi.lbh baik sy tutup aja masih kalh dng m-bca",3,2024-10-19 00:13:54
MRCreative [MRC],Setor Tunai via Aplikasi sdh tidak bisa lagi,1,2024-10-19 00:06:08
